Diet,HF/CD,CD,HF
HMDB01227,-2.821592612,24535.559,3470.659
HMDB01032,-1.518647774,5504.96,1921.302
HMDB01919,-1.406538146,9629.375,3632.352
HMDB01229,-1.136071896,19046.73,8666.2
HMDB00048,-1.131506611,250598.1,114382.7
HMDB08836,-1.128352908,11648.717,5328.562
HMDB03533,-1.123361352,2761.641,1267.657
HMDB08835,-1.057855902,112887.1,54224.8
HMDB06791,-1.030276384,6354.745,3111.387
HMDB08835,-1.003729204,47045.39,23461.97
HMDB08836,-0.987143772,5760.533,2906.048
HMDB00048,-0.965586887,29946,15334.45
HMDB12085,-0.954135232,4694.418,2423.028
HMDB07941,-0.946038089,55780.27,28953.08
HMDB00174,-0.940286099,23075.53,12025.34
HMDB00151,-0.903761105,3067.104,1639.341
HMDB01097,-0.90362224,2223.03,1188.305
HMDB00048,-0.889153345,17837.207,9630.859
HMDB60652,-0.872519744,4751.563,2595.266
HMDB07951,-0.871791482,6476.489,3539.193
HMDB12315,-0.865600737,4061.098,2228.803
HMDB08845,-0.855725233,27590.22,15246.01
HMDB00064,-0.839646727,1792.035,1001.354
HMDB03681,-0.837217736,21264.79,11902.37
HMDB09111,-0.81101989,21284.81,12131.89
HMDB10355,-0.803717829,2965.172,1698.661
HMDB07935,-0.785787138,4891.829,2837.434
HMDB07940,-0.749234951,278127.8,165463.5
HMDB00714,-0.747783884,6691.723,3985.039
HMDB09111,-0.743548859,11294.94,6746.11
HMDB07885,-0.715106154,14905.285,9079.708
HMDB08062,-0.706053418,10198.44,6251.59
HMDB07940,-0.702882014,114582.19,70392.85
HMDB00048,-0.69202346,8107.672,5018.528
HMDB08845,-0.681803565,14043.951,8754.795
HMDB01227,-0.680941469,6800.622,4241.943
HMDB07918,-0.675893195,37290.89,23342.03
HMDB00951,-0.675702736,301217.1,188570.1
HMDB09144,-0.657782278,3432.084,2175.433
HMDB09611,-0.656988841,290677.9,184348.1
HMDB10166,-0.655815741,39198.13,24879.7
HMDB09611,-0.652262908,701206.3,446164.6
HMDB02596,-0.650894815,2276.85,1450.092
HMDB03464,-0.643969108,2263.91,1448.789
HMDB00279,-0.643315309,4502.571,2882.726
HMDB01231,-0.63950939,1931.411,1239.833
HMDB10323,-0.635341313,3520.633,2266.543
HMDB01513,-0.633956238,6543.259,4216.521
HMDB00450,-0.632730921,700.9035,452.0508
HMDB10405,-0.630015173,1618.103,1045.569
HMDB10382,-0.62992366,50445.04,32598.12
HMDB09611,-0.627422543,123151.42,79719.84
HMDB09611,-0.626104685,283660.2,183790.1
HMDB07892,-0.623010748,2827.057,1835.649
HMDB00951,-0.618488555,1123242.3,731627.2
HMDB00951,-0.603371708,3252.092,2140.572
HMDB00951,-0.602786702,69750.37,45929.28
HMDB08845,-0.59783716,2932.972,1937.943
HMDB06709,-0.589522196,2702.856,1796.218
HMDB00684,-0.586350555,4717.867,3142.22
HMDB10386,-0.583645915,3306.665,2206.456
HMDB02972,-0.582520862,1819.821,1215.269
HMDB12311,-0.580565809,3157.228,2111.243
HMDB12312,-0.578105642,2363.498,1583.172
HMDB00036,-0.577688491,2052.054,1374.951
HMDB08824,-0.572746814,1758.158,1182.072
HMDB10386,-0.571368728,1994.979,1342.577
HMDB07874,-0.570528369,5456.831,3674.467
HMDB03193,-0.566133139,3131.446,2115.056
HMDB06709,-0.565614161,2704.424,1827.292
HMDB06866,-0.562446856,5568.509,3770.731
HMDB00951,-0.562171342,5912.051,4004.126
HMDB10387,-0.561235846,25958.5,17592.63
HMDB07880,-0.557329171,4027.416,2736.867
HMDB10163,-0.545726998,11397.081,7807.526
HMDB09578,-0.545238846,34497.01,23640.04
HMDB02829,-0.539231416,2771.073,1906.879
HMDB08847,-0.538321223,2503.459,1723.811
HMDB08836,-0.538321223,2503.459,1723.811
HMDB01278,-0.535832604,2010.682,1386.889
HMDB00225,-0.53225039,4654.389,3218.395
HMDB10355,-0.531242378,1837.055,1271.166
HMDB10383,-0.524697063,2171.525,1509.438
HMDB08880,-0.524459325,2258.81,1570.369
HMDB00036,-0.523762145,42738.55,29727.04
HMDB09710,-0.518724233,196717.2,137306.4
HMDB10168,-0.516855901,1948.296,1361.651
HMDB08255,-0.516286899,11627.877,8129.851
HMDB04866,-0.516286899,11627.877,8129.851
HMDB00039,-0.51621659,1539.896,1076.7
HMDB08687,-0.515091911,3547.411,2482.295
HMDB08838,-0.513663231,1561.432,1093.692
HMDB07868,-0.507678654,1255.4636,883.0344
HMDB03235,-0.500539853,5504.241,3890.63
HMDB00564,-0.499866769,4277.543,3024.959
HMDB00095,-0.496581908,19829.41,14054.77
HMDB60416,-0.493222798,3282.725,2332.167
HMDB60601,-0.489294177,2312.468,1647.341
HMDB08873,-0.488978887,2554.785,1820.359
HMDB09137,-0.488292337,4770.168,3400.502
HMDB03873,-0.486920176,7991.492,5702.303
HMDB00036,-0.485686742,87830.29,62724.62
HMDB00292,-0.481250163,6030.551,4320.025
HMDB00036,-0.477463892,201411.2,144661.4
HMDB01513,-0.475902875,4128.462,2968.433
HMDB10407,-0.474700311,2089.119,1503.364
HMDB02513,-0.474194264,1663.006,1197.146
HMDB08255,-0.473108532,6226.79,4485.846
HMDB00564,-0.472278247,2181.538,1572.508
HMDB08825,-0.466847077,1467.236,1061.61
HMDB00036,-0.466674637,25702.16,18598.87
HMDB00962,-0.464728889,2447.951,1773.803
HMDB08753,-0.464498018,9404.948,6815.984
HMDB12311,-0.461282451,3390.788,2462.866
HMDB04195,-0.460858165,8799.297,6393.164
HMDB08847,-0.458583961,3444.005,2506.203
HMDB07860,-0.457834984,14842.2,10806.28
HMDB10381,-0.457731803,6418.074,4673.193
HMDB08829,-0.456141786,1494.509,1089.397
HMDB03553,-0.455781654,38844.68,28322.24
HMDB04031,-0.453507564,5652.864,4128.09
HMDB09578,-0.451381109,88675.88,64852.43
HMDB08748,-0.449234049,5380.927,3941.161
HMDB01416,-0.448393286,10571.872,7747.687
HMDB10318,-0.444777736,26672.76,19596.41
HMDB01511,-0.442929112,3355.354,2468.331
HMDB00763,-0.442929112,3355.354,2468.331
HMDB09050,-0.441743131,3221.313,2371.674
HMDB08896,-0.440260584,6444.04,4749.267
HMDB07866,-0.440260584,6444.04,4749.267
HMDB00619,-0.43781897,114130.93,84257.14
HMDB02434,-0.434419722,6352.669,4700.92
HMDB08858,-0.434133051,1484.671,1098.862
HMDB02434,-0.433031316,6361.054,4711.657
HMDB09605,-0.430382717,8380.744,6219.056
HMDB00653,-0.429836304,110341.16,81911.32
HMDB00138,-0.429836304,110341.16,81911.32
HMDB07961,-0.429401723,3549.535,2635.777
HMDB09116,-0.429401723,3549.535,2635.777
HMDB09408,-0.428663884,8397.81,6239.149
HMDB09203,-0.428648026,3656.297,2716.474
HMDB34934,-0.428574738,3144.987,2336.711
HMDB10165,-0.425261365,5162.858,3844.8
HMDB07860,-0.424760286,6418.464,4781.515
HMDB02190,-0.422935369,2847.062,2123.639
HMDB02513,-0.420683794,1898.074,1417.995
HMDB60499,-0.420423707,2857.661,2135.259
HMDB07890,-0.414740267,33131.6,24853.82
HMDB08189,-0.412661728,10022.153,7529.003
HMDB29225,-0.409605906,1996.824,1503.267
HMDB07910,-0.408381012,6653.136,5012.928
HMDB12316,-0.408084752,4128.554,3111.374
HMDB07874,-0.406934174,2812.851,2121.521
HMDB10381,-0.403088369,3044.203,2302.141
HMDB02972,-0.403088369,3044.203,2302.141
HMDB08832,-0.398540716,1109.9889,842.0656
HMDB08518,-0.398182603,4966.457,3768.615
HMDB03213,-0.397883389,30088.16,22836.04
HMDB07943,-0.396139587,298043.7,226480.1
HMDB03553,-0.394291379,11037.807,8398.259
HMDB05779,-0.392651783,30716.77,23397.83
HMDB10405,-0.391524694,885.9842,675.4066
HMDB12316,-0.387008903,3980.244,3043.746
HMDB08588,-0.387008903,3980.244,3043.746
HMDB00619,-0.383901066,28548.76,21878.7
HMDB01049,-0.382788073,1906.366,1462.095
HMDB00653,-0.378277475,32129.42,24718.95
HMDB03080,-0.376821858,1990.201,1532.718
HMDB02596,-0.376130628,1949.214,1501.872
HMDB07943,-0.374811111,124415.75,95950.22
HMDB13040,-0.374646588,8215.109,6336.267
HMDB00482,-0.374540959,1605.525,1238.423
HMDB60351,-0.374290505,2437.767,1880.7
HMDB01345,-0.37346834,5255.786,4057.07
HMDB06547,-0.370078191,6267.986,4849.795
HMDB09705,-0.366456957,24398.07,18925.22
HMDB07881,-0.366107114,2086.953,1619.211
HMDB00036,-0.365640809,8416.541,6532.28
HMDB01198,-0.365062383,5554.741,4312.897
HMDB04833,-0.364716405,5269.214,4092.185
HMDB10382,-0.362926996,10150.403,7892.805
HMDB04953,-0.361969466,14244.54,11083.7
HMDB00593,-0.358392427,3661.622,2856.187
HMDB09195,-0.358117076,3441.163,2684.734
HMDB00939,-0.355553268,48017.64,37529.14
HMDB09147,-0.354296031,4512.003,3529.52
HMDB01473,-0.35315099,7678.138,6011.002
HMDB07901,-0.352933044,2003.508,1568.728
HMDB08847,-0.349616341,1690.696,1326.846
HMDB07852,-0.349283636,1324.378,1039.602
HMDB00674,-0.349171658,1193.4066,936.8656
HMDB09342,-0.348260105,11104.96,8723.289
HMDB12312,-0.34746378,2973.821,2337.318
HMDB08836,-0.347274058,2259.783,1776.343
HMDB03141,-0.345548465,1692.459,1331.98
HMDB06834,-0.344537481,2423.941,1909
HMDB00299,-0.343250711,36846.26,29044.55
HMDB00619,-0.341966164,5020.782,3961.223
HMDB01032,-0.341020612,1781.316,1406.318
HMDB04953,-0.336986711,6618.448,5239.78
HMDB06738,-0.336686157,1489.801,1179.711
HMDB05175,-0.336054171,3232.509,2560.81
HMDB00939,-0.335469633,9245.009,7326.911
HMDB00854,-0.333221338,2429.937,1928.792
HMDB01852,-0.330414635,4133.31,3287.254
HMDB10318,-0.329372821,2551.098,2030.374
HMDB03553,-0.328754559,3565.726,2839.115
HMDB08984,-0.328706232,2232.13,1777.334
HMDB60409,-0.328559335,1654.427,1317.472
HMDB07910,-0.328494554,14982.89,11931.88
HMDB06273,-0.326305113,4751.396,3789.602
HMDB03213,-0.324435756,6401.193,5112.061
HMDB08653,-0.324193532,6309.714,5039.851
HMDB06280,-0.32256579,1175.0459,939.6213
HMDB02065,-0.322162489,3979.524,3183.102
HMDB08855,-0.320869469,996.5902,797.8574
HMDB09639,-0.319029646,7431.612,5957.246
HMDB01178,-0.314212415,9300.544,7480.334
HMDB02757,-0.313689252,1399.669,1126.148
HMDB10386,-0.311672101,8661.117,6978.326
HMDB07940,-0.310782037,10764.617,8678.484
HMDB00855,-0.308944848,6292.37,5079.402
HMDB03337,-0.308122342,29193.68,23579.51
HMDB09116,-0.306996474,28602,23119.65
HMDB08682,-0.306411328,5801.941,4691.744
HMDB59616,-0.306411328,5801.941,4691.744
HMDB00653,-0.305701055,8537.231,6907.038
HMDB08255,-0.30492184,16769.22,13574.45
HMDB08682,-0.304037148,3611.017,2924.861
HMDB10381,-0.30401385,6851.908,5550.016
HMDB13040,-0.300587053,2382.782,1934.633
HMDB01178,-0.300258083,53506.76,43453.22
HMDB09314,-0.299394389,25981.16,21112.12
HMDB06547,-0.299052561,1373.519,1116.377
HMDB07852,-0.29714159,3265.498,2657.669
HMDB08255,-0.295538997,9232.405,7522.267
HMDB08023,-0.295538997,9232.405,7522.267
HMDB00619,-0.295059416,2174.753,1772.508
HMDB02513,-0.294994109,1661.831,1354.518
HMDB07890,-0.29321132,17255.82,14082.19
HMDB00674,-0.293186375,1286.079,1049.566
HMDB06406,-0.292411313,1701.616,1389.431
HMDB06406,-0.292323935,1664.237,1358.992
HMDB07894,-0.289965134,2090.267,1709.675
HMDB03219,-0.289450467,3662.679,2996.854
HMDB04086,-0.28811081,3312.896,2713.175
HMDB12314,-0.287604051,10451.006,8562.107
HMDB08095,-0.287604051,10451.006,8562.107
HMDB04953,-0.287023732,3643.956,2986.554
HMDB12312,-0.284836177,2484.774,2039.589
HMDB04953,-0.284125359,1833.72,1505.923
HMDB04031,-0.283381881,5303.595,4357.766
HMDB13122,-0.283170641,1897.821,1559.597
HMDB05779,-0.283005575,13860.76,11391.84
HMDB08979,-0.28221431,23544.44,19361.25
HMDB10386,-0.28042825,3308.065,2723.684
HMDB00124,-0.278017812,165751.7,136699.3
HMDB00192,-0.278017812,165751.7,136699.3
HMDB01517,-0.277451269,5472.902,4515.403
HMDB00296,-0.274827655,23302.15,19260.37
HMDB12318,-0.27383183,3595.767,2974.13
HMDB08979,-0.273616594,11995,9922.782
HMDB06591,-0.273003464,3827.304,3167.457
HMDB00153,-0.27286473,2376.78,1967.2
HMDB08647,-0.26943571,3862.065,3204.139
HMDB08260,-0.269243788,9213.446,7644.897
HMDB00821,-0.267409288,3801.451,3158.284
HMDB03141,-0.267327359,2623.093,2179.416
HMDB09509,-0.262474169,1363.021,1136.292
HMDB07963,-0.261680715,1340.084,1117.785
HMDB07868,-0.261037767,1305.055,1089.052
HMDB09050,-0.25965273,2694.707,2250.859
HMDB60656,-0.258457763,1519.203,1270.025
HMDB00127,-0.258376622,6646.408,5556.584
HMDB08649,-0.257592723,3383.479,2830.221
HMDB09314,-0.25750277,2606.051,2180.052
HMDB00564,-0.25750277,2606.051,2180.052
HMDB08520,-0.255680712,2791.473,2338.115
HMDB09149,-0.255542621,31159.63,26101.55
HMDB08951,-0.255123885,17542.42,14699.06
HMDB00126,-0.254329045,7328.639,6144.162
HMDB02666,-0.254129063,6791.688,5694.784
HMDB01054,-0.254121181,1607.829,1348.161
HMDB01032,-0.253825546,2147.853,1801.339
HMDB08621,-0.252568187,4827.628,4052.315
HMDB04956,-0.251307025,2413.498,2027.664
HMDB07883,-0.251215135,11082.81,9311.649
HMDB01178,-0.250986717,10397.498,8737.241
HMDB00126,-0.25057276,320581.7,269469
HMDB03224,-0.25057276,320581.7,269469
HMDB06738,-0.246134401,1638.707,1381.68
HMDB07959,-0.245275063,2455.434,2071.539
HMDB07960,-0.24452428,7622.655,6434.238
HMDB01128,-0.243183554,2949.65,2492.097
HMDB01319,-0.243183554,2949.65,2492.097
HMDB01066,-0.243148919,6380.301,5390.711
HMDB09147,-0.242363089,1711.725,1447.023
HMDB07883,-0.241233581,5368.578,4541.933
HMDB08898,-0.240156517,3068.866,2598.266
HMDB08855,-0.239541618,955.7389,809.5246
HMDB10384,-0.237742705,2254.872,1912.292
HMDB01514,-0.237062115,1638.984,1390.631
HMDB11690,-0.237062115,1638.984,1390.631
HMDB00048,-0.236401303,2720.003,2308.902
HMDB10397,-0.235981375,1689.756,1434.784
HMDB60521,-0.235867505,1415.103,1201.669
HMDB60656,-0.235841699,1062.0601,901.8902
HMDB02596,-0.231319279,1951.845,1662.69
HMDB04259,-0.230097175,20741.13,17683.42
HMDB01178,-0.22994006,16771.23,14300.33
HMDB07935,-0.229531612,3897.701,3324.395
HMDB01457,-0.228614733,1497.823,1278.323
HMDB03213,-0.228349176,1866.528,1593.289
HMDB07877,-0.228089414,30639.75,26159.14
HMDB08650,-0.227344856,1079.519,922.1311
HMDB01533,-0.2272757,1426.017,1218.17
HMDB01285,-0.226193952,3760.772,3215.036
HMDB00122,-0.224588597,153746.9,131582.6
HMDB00241,-0.224465051,1800.633,1541.184
HMDB00063,-0.220203325,7821.883,6714.652
HMDB01054,-0.219656848,1869.294,1605.293
HMDB60499,-0.219393851,1426.984,1225.674
HMDB08090,-0.218902365,4488.138,3856.293
HMDB14900,-0.21851302,1394.06,1198.126
HMDB60486,-0.218498858,3880.234,3334.903
HMDB07885,-0.218457158,4966.733,4268.828
HMDB01520,-0.217770174,1396.837,1201.131
HMDB10405,-0.217364383,1753.574,1508.311
HMDB00125,-0.215967631,457379.1,393789
HMDB10404,-0.21515024,1789.495,1541.572
HMDB10404,-0.212343167,1345.698,1161.518
HMDB00259,-0.212306632,2021.734,1745.072
HMDB08951,-0.212096651,1555.22,1342.593
HMDB01085,-0.211416965,1669.5,1441.928
HMDB10382,-0.211104828,3976.71,3435.382
HMDB03235,-0.210493413,2613.54,2258.73
HMDB03337,-0.209556306,145628.4,125939.9
HMDB07892,-0.208371796,7962.672,6891.8
HMDB03213,-0.208045787,2037.435,1763.826
HMDB09212,-0.207933138,30991.04,26831.32
HMDB01490,-0.207589199,3953.666,3423.808
HMDB01565,-0.207589199,3953.666,3423.808
HMDB00895,-0.207589199,3953.666,3423.808
HMDB01314,-0.207495594,66665.3,57734.77
HMDB03974,-0.206437197,6732.88,5835.218
HMDB00126,-0.205956085,11833.71,10259.4
HMDB00996,-0.205956085,11833.71,10259.4
HMDB00288,-0.205563831,10715.699,9292.651
HMDB01059,-0.205449472,3555.56,3083.625
HMDB10381,-0.203746304,25535.45,22172.25
HMDB00904,-0.202872223,1318.767,1145.77
HMDB06738,-0.201330965,821.8418,714.7951
HMDB00939,-0.199533384,3429.546,2986.559
HMDB01206,-0.199218282,5681.56,4948.766
HMDB01517,-0.198118298,10423.71,9086.21
HMDB03337,-0.197879786,35267.31,30747.13
HMDB00037,-0.197705078,3186.598,2778.511
HMDB01999,-0.19749854,7489.884,6531.638
HMDB00241,-0.196906761,1924.222,1678.728
HMDB12843,-0.19544135,5052.066,4411.998
HMDB07951,-0.195397325,175643.1,153394.8
HMDB00828,-0.194265746,3492.123,3052.177
HMDB01265,-0.194003301,7321.199,6400.021
HMDB03391,-0.193690027,3038.106,2656.418
HMDB01059,-0.193548104,3624.771,3169.69
HMDB08457,-0.192887522,12480.36,10918.48
HMDB08684,-0.192858286,2000.163,1749.884
HMDB00101,-0.19118028,8904.277,7799.157
HMDB00288,-0.190548618,200471.9,175668
HMDB01198,-0.18767845,1319.566,1158.602
HMDB01202,-0.187612856,24645.2,21639.9
HMDB09047,-0.186196293,7337.37,6448.961
HMDB09314,-0.186108496,6077.014,5341.534
HMDB07962,-0.186108496,6077.014,5341.534
HMDB04956,-0.184734157,1097.989,966.023
HMDB10381,-0.183992385,85849.96,75570.6
HMDB10400,-0.18357963,1360.905,1198.298
HMDB00629,-0.18223181,4286.598,3777.944
HMDB14900,-0.182012076,1391.79,1226.825
HMDB13070,-0.181501096,4996.508,4405.846
HMDB60486,-0.179296638,2221.859,1962.198
HMDB00291,-0.178765715,1329.475,1174.536
HMDB00150,-0.178765715,1329.475,1174.536
HMDB10404,-0.178739386,1460.506,1290.32
HMDB00290,-0.178675021,33077.98,29224.86
HMDB01999,-0.176930173,33990.04,30067.02
HMDB00150,-0.176213269,4575.199,4049.156
HMDB00291,-0.176213269,4575.199,4049.156
HMDB00036,-0.176171943,9052000,8011457
HMDB00638,-0.175813797,77765.15,68843
HMDB06878,-0.175702634,20814.77,18428.07
HMDB11155,-0.175215986,2130.834,1887.141
HMDB01919,-0.174959439,4075.255,3609.83
HMDB03647,-0.174164053,2473.991,2192.651
HMDB10381,-0.174004484,5469.62,4848.156
HMDB00285,-0.173999798,5072.375,4496.061
HMDB07951,-0.173646183,458035.2,406093.6
HMDB00124,-0.173475896,14409.04,12776.55
HMDB00192,-0.173475896,14409.04,12776.55
HMDB11627,-0.17108688,4774.674,4240.738
HMDB60394,-0.17106809,34800.48,30909.26
HMDB00095,-0.17106809,34800.48,30909.26
HMDB01253,-0.170892103,1532.19,1361.034
HMDB07849,-0.169751963,7541.785,6704.613
HMDB10350,-0.168841219,5094.623,4531.957
HMDB03426,-0.168841219,5094.623,4531.957
HMDB08255,-0.168093178,19080.62,16982.1
HMDB08023,-0.168093178,19080.62,16982.1
HMDB06765,-0.167746114,1965.853,1750.066
HMDB04029,-0.167601754,2489.375,2216.344
HMDB01157,-0.166067538,1347.359,1200.859
HMDB06503,-0.166067538,1347.359,1200.859
HMDB04063,-0.165339534,6136.051,5471.631
HMDB08856,-0.165133375,808.3987,720.9672
HMDB01337,-0.165093383,6211.291,5539.669
HMDB08856,-0.164576404,1170.527,1044.333
HMDB03213,-0.164061232,2559.956,2284.784
HMDB12315,-0.163375977,12800.41,11429.91
HMDB08326,-0.163375977,12800.41,11429.91
HMDB00285,-0.163087313,2950.335,2634.979
HMDB01830,-0.162573506,665.2975,594.3967
HMDB04083,-0.162083251,2725.866,2436.198
HMDB07892,-0.162048462,4308.359,3850.618
HMDB01491,-0.161335804,5800.691,5186.959
HMDB60367,-0.161335804,5800.691,5186.959
HMDB08086,-0.160748449,1633.293,1461.08
HMDB06547,-0.159352266,1724.231,1543.923
HMDB03337,-0.158039231,18544.46,16620.33
HMDB01178,-0.157129643,4134.935,3708.241
HMDB07877,-0.156941363,10456.929,9379.077
HMDB06865,-0.156617283,1379.388,1237.485
HMDB00195,-0.156488095,6876.424,6169.572
HMDB00124,-0.155859519,10768.97,9666.2
HMDB00638,-0.154447575,10310.858,9264.062
HMDB10165,-0.154274978,9176.082,8245.479
HMDB00288,-0.153398914,22595.84,20316.59
HMDB08026,-0.152946125,1399.589,1258.807
HMDB14440,-0.152753876,119425.8,107427.3
